a  2  啊 0  阿 0  
a'ba  1  阿爸 0  
a'chang'zu  1  阿昌族 0  
a'dou  1  阿斗 0  
a'fei  1  阿飞 0  
a'fu'han  1  阿富汗 0  
a'hong  1  阿訇 0  
a'la'bo'shu'zi  1  阿拉伯数字 0  
a'la'bo'yu  1  阿拉伯语 0  
a'ma  1  阿妈 0  
a'men  1  阿门 0  
a'si'pi'lin  1  阿司匹林 0  
a'ti  1  阿嚏 0  
a'ya  1  啊呀 0  
a'yi  1  阿姨 0  
a'yo  1  啊哟 0  
ai  14  哀 0  哎 0  唉 0  嗳 0  埃 0  挨 0  爱 0  癌 0  皑 0  矮 0  碍 0  艾 0  蔼 0  隘 0  
ai'ai  1  皑皑 0  
ai'bian  1  癌变 0  
ai'bian'er  1  挨边儿 0  
ai'bing'bi'sheng  1  哀兵必胜 0  
ai'bu'shi'shou  1  爱不释手 0  
ai'cai'ru'ming  1  爱财如命 0  
ai'chao  1  爱巢 0  
ai'cheng  1  爱称 0  
ai'chou  1  哀愁 0  
ai'ci  1  挨次 0  
ai'da'bu'li  1  爱搭不理 0  
ai'dai  1  爱戴 0  
ai'dao  1  哀悼 0  
ai'dun'dun  1  矮墩墩 0  
ai'e  1  挨饿 0  
ai'fu  1  爱抚 0  
ai'gao  1  哀告 0  
ai'ge  1  哀歌 0  
ai'ge'er  1  挨个儿 0  
ai'guo  1  爱国 0  
ai'guo'zhu'yi  1  爱国主义 0  
ai'hao  4  哀号 0  哀嚎 0  爱好 0  艾蒿 0  
ai'he  1  爱河 0  
ai'hu  1  爱护 0  
ai'ji  1  埃及 0  
ai'jia'ai'hu  1  挨家挨户 0  
ai'jian'er  1  挨肩儿 0  
ai'jiang  1  爱将 0  
ai'jiao  1  哀叫 0  
ai'jin  1  挨近 0  
ai'ke'si'guang  1  爱克斯光 0  
ai'kou  2  碍口 0  隘口 0  
ai'ku  1  哀哭 0  
ai'lian  3  哀怜 0  爱怜 0  爱恋 0  
ai'lv  1  爱侣 0  
ai'mei  2  暧昧 0  爱美 0  
ai'mian'zi  1  爱面子 0  
ai'ming  1  哀鸣 0  
ai'mo'neng'zhu  1  爱莫能助 0  
ai'mu  1  爱慕 0  
ai'nan  1  碍难 0  
ai'nv  1  爱女 0  
ai'pang  1  矮胖 0  
ai'pi  1  挨批 0  
ai'qi  2  哀戚 0  哀泣 0  
ai'qing  1  爱情 0  
ai'qiu  1  哀求 0  
ai'ren  1  爱人 0  
ai'shang  1  哀伤 0  
ai'shen  1  爱神 0  
ai'sheng'tan'qi  1  唉声叹气 0  
ai'shi  1  碍事 0  
ai'shou'ai'jiao  1  碍手碍脚 0  
ai'si  1  哀思 0  
ai'tan  1  哀叹 0  
ai'tong  2  哀恸 0  哀痛 0  
ai'wan  1  哀婉 0  
ai'wo'wo  1  艾窝窝 0  
ai'wu'ji'wu  1  爱屋及乌 0  
ai'xi  1  爱惜 0  
ai'xi'bao  1  癌细胞 0  
ai'xiao  1  矮小 0  
ai'xin  1  爱心 0  
ai'ya  1  哎呀 0  
ai'yan  1  碍眼 0  
ai'yo  1  哎哟 0  
ai'yuan  1  哀怨 0  
ai'yue  1  哀乐 0  
ai'zeng  1  爱憎 0  
ai'zeng'fen'ming  1  爱憎分明 0  
ai'zheng  2  挨整 0  癌症 0  
ai'zhong  1  癌肿 0  
ai'zi  1  矮子 0  
ai'zi'bing  1  艾滋病 0  
ai'zou  1  挨揍 0  
an  18  俺 0  埯 0  安 1  岸 0  庵 0  按 0  揞 0  暗 0  案 0  桉 0  氨 0  犴 0  胺 0  谙 0  铵 0  鞍 0  鹌 0  黯 0  
an'an  1  暗暗 0  
an'ban  1  案板 0  
an'bao  1  暗堡 0  
